time,process wattage reading
2.2,146.03988750005374
2.4,144.00243749981456
2.5,144.8816375000024
2.6,144.66419999997015
2.7,144.72217500013357
2.8,145.7770374999498
3.0,145.6285500001104
3.1,144.68221250056814
3.2,144.61994999990566
3.3,144.96250000018335
3.4,142.93890000038374
3.6,144.98308750014985
3.7,144.29417500003183
3.8,145.06932499978575
3.9,144.55521250002494
4.0,144.46571250005215
4.2,144.0164749998803
4.3,145.2386875000957
4.4,144.642824999828
4.5,144.38926249998332
4.6,144.6619125000143
4.8,144.58561250001367
4.9,144.34606250040815
5.0,168.2443124999554
5.1,223.57347499981694
5.2,210.71416249959435
5.4,169.5271625000634
5.5,152.91841249971185
5.6,190.73681250000953
5.7,222.34436249978316
5.8,200.62677500017452
5.9,198.82118749996005
6.0,246.7523624999594
6.2,215.4722999999998
6.3,189.23718750014666
6.4,232.49047499984732
6.5,227.56291249977656
6.6,228.2680125000217
6.7,256.9150499999203
6.9,227.54462499993969
7.0,221.60144999969924
7.1,200.98382499990402
7.2,214.42896249988115
7.3,229.46457500005488
7.5,203.5970624997484
7.6,232.9714875000471
7.7,227.43292499982635
7.8,197.82897500023245
7.9,237.30791249949542
8.0,232.9028625000239
8.1,199.34961250027408
8.3,228.75936249997756
8.4,223.9981374998373
8.5,234.51252500032132
8.6,213.63685000009716
8.7,239.4741374999954
8.8,252.35852500035543
9.0,209.49363750031915
9.1,250.05533750002797
9.2,226.25783750000699
9.3,180.10687499979102
9.4,243.37656250041618
9.5,252.10904999975463
9.7,210.0269124996266
9.8,237.57348750017698
9.9,223.01593749970488
10.0,255.3909250000026
10.1,240.49606250022768
10.2,219.28823749976
10.4,244.7296999996557
10.5,239.4797749999998
10.6,300.6110125001607
10.7,225.40856250040522
10.8,200.18262499994597
10.9,332.9700624998339
11.1,245.2899624999816
11.2,244.3705625001632
11.3,321.68840000008925
11.4,271.9014624999894
11.5,286.52137500011594
11.6,211.78642500001294
11.8,231.97282499994907
11.9,258.19639999984355
12.0,264.3317624996998
12.1,225.80066249965165
12.2,227.22322499965665
12.3,233.18672500014944
12.5,273.3287500001519
12.6,261.6990499996638
12.7,347.4824999995151
12.8,224.67103750018575
12.9,223.80711249997256
13.1,279.09957500002633
13.2,267.16642500020384
13.3,242.97575000004144
13.4,273.8183000002784
13.5,223.3204000002559
13.6,209.31374999991965
13.8,294.253762499892
13.9,325.031562499734
14.0,270.2044500000454
14.1,203.9627000002074
14.2,290.6342624997662
14.4,263.83585000016313
14.5,298.5670874999108
14.6,271.4982125000126
14.7,253.96308749980818
14.8,310.09602499959874
15.0,223.91080000000073
15.1,262.51597499990015
15.2,336.6482499999052
15.3,284.3828874999133
15.4,231.08096249988301
15.5,243.61220000030877
15.7,249.59662499981349
15.8,316.7159375001356
15.9,260.3680750001222
16.0,213.73697499952394
16.1,284.70642500019164
16.3,268.9370375000755
16.4,353.1942249997984
16.5,294.9338124995993
16.6,237.31637499999195
16.7,283.0471500000276
16.8,224.4709249999403
17.0,271.4280249999894
17.1,268.89476250000007
17.2,328.40547499998064
17.3,268.0476125001121
17.4,234.78565000019734
17.6,289.23275000028366
17.7,224.55313749975465
17.8,255.54824999969858
17.9,287.57787500013654
18.0,181.05373749998108
18.1,286.0777375000354
18.2,276.9387250000029
18.4,236.47721250001047
18.5,256.0616874999716
18.6,261.4704625000711
18.7,312.3118874999578
18.8,292.8998375002411
19.0,227.12868750010094
19.1,280.80028749999474
19.2,258.0348250003851
19.3,288.94202500028183
19.4,298.10184999966003
19.5,232.01866250007586
19.6,295.90873750003226
19.8,266.2591749999963
19.9,326.2776375000219
20.0,263.5514499999437
20.1,228.16308750008466
20.2,304.3990375002555
20.3,198.78433750006369
20.5,208.8587625000975
20.6,210.10978750016073
20.7,287.11840000001536
20.8,219.39686249974181
20.9,313.73588750004416
21.0,290.05712499967194
21.1,231.2337249996839
21.3,307.9000625001616
21.4,241.56717500008526
21.5,251.58606249966542
21.6,262.58909999998286
21.7,215.4230624999065
21.8,282.2937749999953
22.0,290.46073749997595
22.1,310.1886875000433
22.2,289.51502499990454
22.3,214.2010124999331
22.4,284.3422250001691
22.5,268.7687749998877
22.7,216.89762500006182
22.8,207.68041250007806
22.9,261.9050374994578
23.0,237.3290625005029
23.1,298.556462500093
23.2,267.1769874997524
23.3,228.0115500003041
23.5,280.2363000002602
23.6,250.6998874999146
23.7,243.7403375001886
23.8,293.49223750008673
23.9,264.3879249996738
24.0,204.9373250001401
24.2,288.97787500005796
24.3,297.37871249989547
24.4,354.4159624999825
24.5,231.0026000001817
24.6,279.15240000005576
24.7,224.4144500002847
24.9,223.10020000005898
25.0,270.3173625001625
25.1,200.51162500009812
25.2,247.19341250022987
25.3,248.00008750015695
25.4,195.69003750000266
25.5,299.6852625000844
25.7,257.89716250006455
25.8,281.8207499998272
25.9,208.01112500026937
26.0,230.64218749981663
26.1,272.417262499599
26.3,311.6305249997618
26.4,270.4692999998864
26.5,232.71025000001828
26.6,216.63737500022398
26.7,230.02133749992936
26.9,284.7592999998742
27.0,213.1261500003689
27.1,237.75957499980285
27.2,258.304262500233
27.3,212.24327499975624
27.4,275.91546249997623
27.6,194.58008749972214
27.7,243.3067499998811
27.8,195.59632499956058
27.9,145.86076249963952
28.0,145.6813124995475
28.1,145.75961249972752
28.3,146.36812500014202
28.4,145.99874999994353
28.5,246.47897500042745
28.6,255.97636250048816
28.7,243.81389999983946
28.9,299.23415000019884
29.0,255.79372500001915
29.1,235.3288625001034
29.2,285.16086250008084
29.3,274.41144999965036
29.4,202.53569999974277
29.5,261.55108749979405
29.7,280.552574999872
29.8,251.43083749996438
29.9,282.2850499997847
30.0,291.5169875000545
30.1,219.88138750022335
30.3,288.79381249961153
30.4,237.01421250021957
30.5,258.75682500012624
30.6,285.1364999996469
30.7,204.8423625001451
30.8,264.6312124998454
31.0,285.47141249997657
31.1,207.80818750041652
31.2,277.5583750000107
31.3,261.30705000020384
31.4,214.65842500006835
31.5,263.9805500002956
31.7,278.3891875001165
31.8,216.39657500032916
31.9,271.8142875002377
32.0,273.83614999990675
32.1,213.73668750021898
32.2,263.7428874997684
32.4,266.32519999986107
32.5,216.01071249958184
32.6,285.25861249994773
32.7,278.1390499998088
32.8,339.8558750001713
33.0,279.0342249998648
33.1,230.8386874996504
33.2,294.32477499991364
33.3,269.5993125003413
33.4,215.25721250037896
33.5,268.9283249999396
33.7,267.19037499971455
33.8,186.9662000001874
33.9,291.31876249985066
34.0,213.03677500024494
34.1,296.65767500038197
34.3,301.46188749980934
34.4,303.16746250029246
34.5,300.2968750000407
34.6,164.67452500000363
34.7,334.86110000028276
34.9,311.0147375000291
35.0,217.31470000005208
35.1,176.63873749978666
35.2,303.53667499980656
35.3,181.9873499998386
35.5,405.0385000000416
35.6,306.12080000021666
35.7,308.61619999987886
35.8,286.4367875000724
35.9,184.3905999999726
36.1,416.51212500011025
36.2,307.8923374999518
36.3,300.81544999962495
36.4,307.5336000000883
36.5,238.43784999968483
36.7,431.25112499969543
36.8,302.14077500015844
36.9,315.4730000002542
37.0,291.16322500040985
37.1,200.86012499974748
37.3,475.79836250000227
37.4,280.0307375000295
37.5,283.0016249998676
37.6,308.84061250030936
37.7,306.7755124997871
37.9,167.56858750028476
38.0,320.8272000003053
38.1,314.35329999996463
38.2,313.87569999988483
38.4,310.23814999965253
38.5,248.48896250021645
38.6,454.21559999976307
38.7,311.4852250000025
38.8,319.5085375003895
39.0,314.6871624998835
39.1,165.37580000007
39.2,324.9110375001124
39.3,299.9346000002173
39.5,305.81041250012055
39.6,308.6317500001838
39.7,288.72441249992113
39.8,221.89731250038022
39.9,299.990875000201
40.1,289.4185624997073
40.2,240.13843749969672
40.3,308.16482500018316
40.4,326.01727499960396
40.5,185.9354625001113
40.7,324.24486250005134
40.8,302.36896250032873
40.9,316.907212499727
41.0,325.2671749998466
41.2,174.27713750000112
41.3,257.7241500001692
41.4,315.9402624996641
41.5,319.1531125000532
41.6,318.31635000010425
41.8,167.29199999962293
41.9,394.8211249997665
42.0,293.56623749995777
42.1,309.7372250001819
42.2,315.34882500033126
42.4,178.44413749956874
42.5,409.2074749999825
42.6,282.16777500015155
42.7,303.5242375002621
42.8,291.4713375002815
43.0,283.8942625000141
43.1,235.9887499998993
43.2,287.5620124996785
43.3,311.75390000030745
43.4,304.1788249998557
43.6,310.9956750000332
43.7,161.74279999992285
43.8,438.8558375003282
43.9,293.7507375000132
44.1,282.14347500033034
44.2,305.45598750011993
44.3,314.38582500018816
44.4,242.3010750000045
44.5,211.29367499974904
44.6,323.5035749995673
44.8,317.3930750001105
44.9,279.3800500002602
45.0,303.80071249995086
45.1,189.83362499981013
45.3,466.39288750017
45.4,310.740725000191
45.5,308.75022500008924
45.6,310.5197249998222
45.7,271.4687624999991
45.9,193.44278749996448
46.0,316.10837499994085
46.1,318.63332500002286
46.2,299.3409125000238
46.3,308.9502249998826
46.5,211.56068749941187
46.6,320.101387500175
46.7,311.8006249995902
46.8,317.91398750008955
46.9,320.8782875000266
47.1,157.10032500035302
47.2,473.5183625000849
47.3,306.9598250000592
47.4,295.3360749997489
47.6,301.0667999997007
47.7,313.2294375002442
47.8,157.51509999997796
47.9,417.914775000108
48.0,310.2168125002674
48.2,312.6769500001741
48.3,319.00838749998655
48.4,209.56852500035893
48.5,242.67058749998975
48.6,229.4848625002487
48.8,311.5753875001741
48.9,302.8767750001221
49.0,315.0827374998538
49.1,250.5241875002277
49.2,211.76528750027063
49.4,318.25708750019254
49.5,254.18071250003706
49.6,318.1553874997276
49.7,314.35031249983
49.9,157.13828749973908
50.0,480.504124999934
50.1,305.21196249978965
50.2,259.46917499985136
50.3,301.506849999784
